composer,title,duration,note_f1,note_precision,note_recall,onset_f1,onset_precision,onset_recall,note_with_offset_f1
Domenico Scarlatti,Sonata K. 525,65.9481178125,0.966589861751152,0.9824355971896955,0.9512471655328798,0.9677419354838709,0.9836065573770492,0.9523809523809523,0.7569124423963134
Domenico Scarlatti,"Sonata in D Minor, K. 9 L. 413",95.9707907813,0.986046511627907,0.986046511627907,0.986046511627907,0.986046511627907,0.986046511627907,0.986046511627907,0.7790697674418605
Sergei Rachmaninoff,Prelude Op. 32 No. 8 in A Minor,109.870833333,0.9877961234745154,0.9927849927849928,0.9828571428571429,0.9892318736539842,0.9942279942279942,0.9842857142857143,0.5757358219669778
Franz Schubert,Impromptu Op. 90 No. 4 in A-flat Major,112.872916667,0.9887438090950024,0.9882988298829883,0.9891891891891892,0.9887438090950024,0.9882988298829883,0.9891891891891892,0.08374606033318326
Frédéric Chopin,Etudes Op. 10 Nos. 9,124.808902969,0.981132075471698,0.9894736842105263,0.9729299363057324,0.9835407466880771,0.9919028340080972,0.9753184713375797,0.06824568446407066
Sergei Rachmaninoff,"Prelude in G-Sharp Minor,Op. 32 No. 12",127.737585938,0.9712679575265459,0.9879288437102922,0.9551597051597052,0.9725171767645221,0.9891994917407878,0.9563882063882064,0.0768269831355403
Claude Debussy,"Etude No. 7 ""Study in Chromatic Steps""",134.376478304,0.9681190223166845,0.9758971612212105,0.9604638903531892,0.9734325185972369,0.9812533476164971,0.9657353716394307,0.19075451647183844
Frédéric Chopin,Etude Op. 10 No. 12,136.134375,0.9800095192765349,0.9908565928777671,0.96939736346516,0.98286530223703,0.9937439846005774,0.9722222222222222,0.17658257972394098
Alexander Scriabin,"Etude Op. 42, Nos. 4 & 5",136.315301719,0.9761751448808758,0.9844155844155844,0.9680715197956578,0.9761751448808758,0.9844155844155844,0.9680715197956578,0.03477141017385705
Domenico Scarlatti,"Sonata in D Major, K. 118",136.679884688,0.9974517655624318,0.9992706053975201,0.9956395348837209,0.9974517655624318,0.9992706053975201,0.9956395348837209,0.7186021113942483
Frédéric Chopin,Etude Op. 10 No. 12 in C Minor,138.094146094,0.966722528130237,0.9882525697503671,0.9461105904404874,0.9695954033995691,0.9911894273127754,0.9489222118088098,0.27340196313143406
Domenico Scarlatti,"Sonata in D Major, K. 96 L. 465",138.765886875,0.9806598407281001,0.9873997709049256,0.9740112994350283,0.9817974971558588,0.9885452462772051,0.9751412429378531,0.7565415244596131
Domenico Scarlatti,"Sonata in D Major, K96",140.121387656,0.9907514450867052,0.9918981481481481,0.9896073903002309,0.9919075144508671,0.9930555555555556,0.9907621247113164,0.8069364161849711
Domenico Scarlatti,"Sonata in A Major, K. 208",146.682545625,0.998019801980198,0.998019801980198,0.998019801980198,0.998019801980198,0.998019801980198,0.998019801980198,0.16237623762376238
Frédéric Chopin,Etude Op. 10 No. 12,150.49375,0.9823458282950424,0.9926686217008798,0.9722355193872666,0.9852478839177752,0.9956011730205279,0.9751077070368598,0.3255139056831923
